salario_anual,total_dividas,historico_pagamento (score),idade,credito_solicitado,elegibilidade
44223,13415,9.233.129.008.530.050,31,20229,3
73605,27091,8.593.442.019.147.430,26,15913,3
46628,13687,6.596.278.779.913.290,44,20944,2
84327,13321,8.808.408.047.336.230,61,7325,3
50486,26723,8.818.470.981.648.410,36,7992,3
59942,2675,8.273.178.166.389.090,42,13799,3
59486,20291,8.546.694.518.387.320,69,22338,3
33591,14498,1.0,49,24814,2
68018,1046,8.065.392.995.231.250,67,16662,3
54050,17903,8.076.598.472.424.500,26,13150,3
81594,51989,8.893.991.492.970.330,50,21307,3
68222,14379,9.319.589.110.218.940,43,10537,3
56520,26905,9.808.779.459.208.970,33,26114,3
58152,15066,7.330.304.239.051.580,42,19272,2
51331,30168,818.883.172.372.555,18,21438,3
31109,19083,8.452.295.367.543.730,38,9855,3
46002,7535,9.102.956.222.621.250,37,23942,2
11081,17506,9.082.523.494.928.260,22,8937,1
33584,2186,7.655.291.825.343.590,34,13950,2
70819,11112,9.701.860.574.559.630,57,21523,3
51161,23814,8.910.117.404.260.870,55,17533,3
34008,13453,1.0,18,8804,3
57905,15646,8.817.083.135.568.170,30,20677,3
59065,29386,6.497.411.290.024.280,35,16699,2
73130,14984,7.676.607.722.554.140,21,12918,2
76674,25122,8.338.987.584.905.570,64,7289,3
61718,14041,7.655.777.781.461.680,31,17173,2
27280,29165,7.618.860.085.350.070,65,14182,1
57510,13943,9.848.698.971.816.670,18,18087,3
37561,28343,78.897.668.595.493,27,12367,2
25524,29288,1.0,30,11923,1
57641,34037,8.712.253.410.250.840,58,14096,3
48912,44719,7.557.175.399.447.310,49,14180,1
52352,24180,863.515.219.043.668,31,19503,3
70643,32766,9.735.525.136.237.800,50,12472,3
53764,46709,7.432.263.126.798.560,47,19006,1
58537,19854,1.0,26,17198,3
50257,12158,9.032.162.320.750.380,23,6630,3
62149,22549,7.355.970.076.420.550,27,16472,2
18015,35932,797.779.299.668.726,28,1661,1
38384,38131,8.084.328.755.909.760,56,10523,1
44207,21465,9.608.290.185.645.410,37,17315,3
42808,18348,7.320.621.431.528.880,42,14946,2
38125,7256,1.0,29,6160,3
48770,20798,9.641.604.149.066.280,39,9404,3
47964,8214,1.0,29,1955,3
48762,10279,8.558.811.107.247.010,31,8287,3
53006,22362,9.734.885.712.806.620,59,17895,3
57466,7225,825.928.299.755.526,65,12212,3
38360,23553,9.521.647.182.964.760,53,15849,3
42164,29489,8.587.538.709.960.000,31,15068,3
63840,9469,1.0,19,15162,3
35870,14109,8.768.332.806.985.360,19,20115,2
37880,5534,7.655.351.166.810.640,60,13985,2
38405,25936,1.0,60,19553,2
47001,5123,8.708.510.378.619.100,23,2613,3
64972,26995,7.963.359.415.575.570,42,20557,2
57858,22898,7.915.942.423.687.270,20,8549,2
36906,41588,7.609.931.915.004.440,40,9635,1
77198,36720,7.067.566.464.205.800,26,11476,2
39565,8128,807.777.505.346.069,48,20419,2
25681,38250,8.704.842.130.364.340,45,10553,1
77362,14652,8.118.792.726.606.150,42,11720,3
37447,11931,47.189.737.251.787.000,52,10191,1
48336,14921,6.962.927.222.284.400,18,16276,2
47990,17119,94.400.786.634.971,19,18718,3
58726,41591,8.385.552.304.605.040,32,23521,3
22445,8151,679.404.561.148.863,60,26999,2
45489,38522,8.144.439.781.427.650,57,18250,1
44498,28294,862.461.410.496.404,33,16828,3
71205,21678,9.455.352.001.258.580,40,8913,3
41846,14011,7.813.627.146.590.240,66,24546,2
45188,19074,9.134.275.563.347.220,52,16077,3
61402,28513,8.477.805.191.588.330,25,13554,3
57671,29619,8.129.319.142.060.550,24,16937,3
39139,11685,9.373.029.796.799.800,38,11818,3
56426,27734,7.555.083.171.148.090,52,3311,2
38939,14118,9.447.342.981.057.280,56,17859,3
62048,18239,7.358.594.225.169.400,54,21712,2
47596,33125,7.923.679.248.436.200,50,17784,2
31150,27936,8.115.605.135.279.330,54,14964,1
17850,3812,8.389.156.867.609.950,52,15066,2
44359,21349,5.956.288.486.239.230,35,15861,1
38244,24193,8.605.540.267.598.070,36,15708,3
46405,21487,6.672.855.883.244.690,27,14696,2
49261,5169,8.667.634.090.272.990,21,15126,3
21293,6453,8.774.327.710.587.530,47,22775,2
39051,2265,947.664.343.846.405,62,17361,3
48059,13658,7.164.685.240.370.410,50,15525,2
51500,21378,8.729.328.494.390.660,21,18296,3
61973,14778,8.452.303.697.837.280,26,18296,3
64558,13790,7.932.256.648.044.910,34,19729,2
46420,2589,7.425.147.982.695.200,60,11215,2
47781,7511,8.580.841.482.226.110,56,12597,3
42789,10444,9.836.919.964.347.840,41,10932,3
59836,28816,8.259.398.286.597.560,56,18833,3
44232,24311,9.753.746.582.598.860,30,18589,3
35497,27839,9.645.953.341.228.460,43,8633,3
25062,24619,6.360.762.980.328.060,36,16954,1
35787,28223,7.640.769.805.893.570,34,21861,2
46011,6340,7.951.241.311.743.840,67,13823,2
64693,33361,9.823.812.574.993.630,47,16569,3
50682,30480,8.480.061.382.150.880,43,18652,3
51717,16261,9.790.657.888.678.620,30,8397,3
50050,29699,836.359.728.385.596,66,15759,3
69197,32158,9.818.707.851.742.440,35,21360,3
57617,19470,8.952.334.236.010.710,38,12033,3
49779,25372,8.404.266.787.506.880,69,19162,3
41020,14808,9.674.718.929.431.110,51,15135,3
